LABEL,TRANSLATION
"Redux factor","Fattore di riduzione"
"Country","Stato"
"Region","Regione"
"City","Città"
"Banner image file","Immagine del banner"
"Please wait the end of the campaign to see correct values for CPM, CPC and CPD.","Per favore attendi la fine della campagna per vedere i valori corretti di CPM, CPC e CPD."
"In progress","In corso"
"Cost for 1.000 impressions.","Costo per 1.000 visualizzazioni."
"Cost for 1 click.","Costo per 1 click."
"Click through rate.","Tasso di click."
"Banners in this campaign","Banner in questa campagna"
"The Clicktag url will be available after saving.","Il Clicktag sarà disponibile dopo aver salvato."
"Missing file in media section.","Mancano uno o più file nella sezione dei media."
"n.a.","n.d."
"choose","scegli"
"all","tutti"
"Save","Salva"
"Save and reopen","Salva e riapri"
"Cancel","Annulla"
"Back","Indietro"
"Main data","Dati principali"
"Banner ID","Banner ID"
"Title and campaign","Titolo e campagna"
"ClickTag","ClickTag"
"Show the ClickTag","Mostra il ClickTag"
"Banner details","Dettagli del banner"
"Instructions","Istruzioni"
"link target","target del link"
"Banner type","Banner type"
"Basic (image + link)","Basic (image + link)"
"Script/template","Script/template"
"Details","Dettagli"
"Main","Principali"
"HTML5","HTML5"
"Basic","BASIC"
"Script","SCRIPT"
"Use this link to implement clicks in your HTML5 banners","Utilizza questo link per implementare i click dal tuo banner HTML5"
"Or pick a template","Or pick a template"
"Remove ZIP file to change banner type.","Rimuovi il file ZIP prima di cambiare il tipo di banner."
"Delete code/template inserted?","Delete code/template inserted?"
"Price and limitations","Prezzo e limitazioni"
"Approximately %s days", "Circa %s giorni"
"Period","Periodo"
"dates included","date incluse"
"use 0 for no limits","usa 0 per nessun limite"
"reduces the number of views by the indicated percentage to give more views to other banners","riduce il numero di visualizzazioni della percentuale indicata per dare più visualizzazioni ad altri banner"
"Frequency cap","Limite di frequenza"
"No limits","Nessun limite"
"1 time per day per user","1 volta per utente al giorno"
"2 times per day per user","2 volte per utnete al giorno"
"limit the number of visualization per user per day","limta il numero di visualizzazione giornaliere per utente"
"Targeting","Targeting"
"Device type","Dispositivi"
"Desktop + mobile","Desktop + mobile"
"Only mobile","Solo mobile"
"Only desktop","Solo desktop"
"Limit to this OS","Limita a questi OS"
"Geolocation","Geolocalizzazione"
"Region/State","Regione/Stato"
"Use geolocation to restrict banner delivery using users ip address.","Utilizza la geolocalizzazione per limitare il numero di visualizzazioni in base agli indirizzi ip."
"To activate geolocation go to Config > Settings","Per attivare la geolocalizzazione vai su Configura > Impostazioni"
"CPC","CPC"
"CPM","CPM"
"CPD","CPD"
"CPM = Cost Per Mille or Cost Per Thousand (CPT), it's calculated as price / number of impression * 1000","CPM = Costp Per Mille visualizzazioni detto anche Cost Per Thousand (CPT), è calcolato come prezzo / numero di visualizzazioni * 1000"
"CPC = Cost Per Click, it's calculated as price / number of clicks","CPC = Costo Per Click, è calcolato come prezzo / numero di click"
"CPD = Cost Per Day, it's calculated as price / days","CPD = Cost Per Day, costo giornaliero, è calcolato come prezzo / giorni"
"There is a wrong setting in Position and the system can't calculate the price, please contact support.","C'è un errore nella configurazione della Posizione e il sistema non può calcolare il prezzo, per favore contatta il supporto."
"Days","Giorni"
"Last impressions count","Ultimo conteggio di visualizzazioni"
"views","visualizzazioni"
"clicks","click"
"COPY","COPIA"
"Save and go to checkout","Salva e vai al checkout"
"Allowed file types: gif, jpg, png;","Tipi di file permessi: gif, jpg, png;"
"Put your script here...","Inserisci qui il tuo script..."
"Allowed file types: zip","Tipi di file permessi: zip"
"Manual payments","Pagamenti manuali"
"MANUAL PAYMENT","PAGAMENTO MANUALE"
"Payment process","Pagamento"
"Payment status","Stato pagamento"
"Banner status","Stato del banner"
"Payment type","Tipo di pagamento"
"Complete manual payment","Completa il pagamento manuale"
"CONFIRM","CONFERMA"
"First you need to create a campaign. Press OK to create a campaign.","Prima devi creare una campagna. Clicca OK per creare una campagna."
----------------------------------,CHECKOUT-------------------------
"Checkout","Checkout"
"Item description","Descrizione prodotto"
"Discount code","Codice sconto"
"Apply","Applica"
"Final price","Prezzo finale"
"Payment completed, now your ad is pending for review.","Pagamento completato, il tuo banner è in attesa di revisione."
"Go on...", "Prosegui..."
"Minimum transaction is","L'acquisto minimo è"
"Transaction not valid.","Transazione non valida."
"Paypal access failure.","Accesso ai dati di Paypal fallito."
"Paypal error: No response.","Errore di Paypal: nessuna risposta."
"Loading...","Caricamento in corso..."
"Your banner is online!","Your banner is online!"
"Hi,<br>your banner n.% has been approved and it is now serving.<br>Thank you.","Ciao,<br>il tuo banner n.% è stato approvato ed è ora attivo.<br>Grazie."
"A new banner need your review!","Un nuovo banner richiede la tua approvazione!"
"Hi,<br>the banner n.% needs your review to go online.<br>Thank you.","Ciao,<br>il banner n.% deve essere approvato per andare online.<br>Grazie."
"Hi,<br>the banner n.% is online.<br>Thank you.","Ciao,<br>il banner n.% è online.<br>Thank you."
"A new banner is online!","Un nuovo banner è online!"
"Banner suggested size: %1x%2 pixels, max %3","Dimensioni suggerite: %1x%2 pixel, max %3"
"Please respect file dimensions.","Per favore rispetta le dimensioni dei file."
"(Any size)","Qualunque"
"Missing payments configuration","Non hai configurato i metodi di pagamento"
"Coinbase hasn't confirmed the transaction yet","Coinbase non ha ancora confermato la transazione"
"Thank you, we are waiting for confirmation by Coinbase","Grazie, ora aspettiamo la conferma da Coinbase"
"Sorry, you have cancelled the transaction","Peccato, hai cancellato la transazione"
"You can't edit or delete a banner during payment process","Non puoi editare o cancellare un banner durante il processo di pagamento"
"Please, go on and complete the payment","Continua e procedi al pagamento"
"Transaction expired","Transazione scaduta"
----------------------------------,PAYMENTS-------------------------
"Payments","Pagamenti"
"Payment ID","ID pagamento"
"Date","Data"
"Revenue share","Suddivisione entrate"
"Administrator","Amministratore"
"Log","Log"
"Payment details","Dettagli"
"Switch the control to paid and press again the button","Cambia la selezione su Pagato e premi il bottone ancora"
"Confirm that you have paid the webmaster for his amount outside AdAdmin software? The webmaster will be notified and this action is not undoable.","Confermi che hai pagato il webmaster per la sua parte al di fuori di AdAdmin? Al webmaster sarà inviata una notifica e non puoi tornare indietro."
"Mark as paid","Segna come pagato"
"PAID","PAGATO"
"No records. It seems you have not earned any money.","Nessun record. Sembra che non hai guadagnato ancora nulla."
"No records. It seems you don't have to pay anybody.","Nessun record. Sembra che non devi pagare nessuno."
"#YmdHis payment record created. Amount is #M.","#YmdHis record pagamento creato. L'importo è #M."
"#YmdHis Banner ##ID sold for #T. Possible webmaster revenue of #M (#S%).","#YmdHis Banner ##ID venduto per #T. Guadagno possibile per il webmaster: #M (#S%)."
"#YmdHis Banner ##ID approved. Added #M (#S% of #T) to webmaster revenue.","#YmdHis Banner ##ID approvato. Aggiunti #M (#S% di #T) al guadagno del webmbaster."
"Administrator has paid the webmaster","L'amministratore ha pagato il webmaster"
"Hi,<br>Administrator sent you %M.<br>Bye.","Ciao,<br>l'Amministratore ti ha inviato %M.<br>Ciao."
"A new payment for you!","C'è un pagamento per te!"
"Earnings","Guadagni"
----------------------------------,GRID STRINGS-------------------------
"Go to first page","Vai alla prima pagina"
"Go to previous page","Pagina precedente"
"Page","Pagina"
"of","di"
"Go to next page","Pagina successiva"
"Go to last page","Vai all'ultima pagina"
"records","record"
"Check all / Uncheck","Spunta tutti / togli spunte"
"Sort in descending order","Riordina dal più grande"
"Sort in ascending order","Riordina dal più piccolo"
----------------------------------,CLIENTS LIST-------------------------
"Do you confirm to delete the selected clients and their campaigns?","Confermi la cancellazione dei clienti selezionati?"
"You can't delete a client with banners.","Non puoi eliminare un cliente con dei banner."
"Clients","Clienti"
"Client ID","ID cliente"
"Client name","Nome cliente"
"Total revenue","Incasso totale"
"Without user","Senza utente"
"With user","Con utente"
"All","Tutti"
----------------------------------,CLIENT DETAIL PAGE-------------------------
"Client details","Dettagli del cliente"
"You can choose guest users who can watch statistics.","Scegli gli utenti che possono vedere le statistiche."
"Guest users","Utenti ospiti"
"Selected","Selezionati"
"Available","Disponibili"
"Remove","Rimuovi"
----------------------------------,CAMPAIGNS LIST-------------------------
"Campaigns","Campagne"
"Campaign ID","ID campagna"
"Do you confirm to delete the selected campaigns?","Confermi la cancellazione delle campagne selezionate?"
"You can't delete a campaign with banners.","Non puoi cancellare una campagna che ha dei banner."
"Campaign title","Titolo della campagna"
"Number of banners","Numero di banner"
"Campaign value","Valore della campagna"
"ON","ON"
"OFF","OFF"
"TOTALLY OFF","COMPLETAMENTE OFF"
----------------------------------,CAMPAIGN DETAIL PAGE-------------------------
"Campaigns turned OFF will not be available in banner creation for new records, but banners will be delivered till the end of their timing.","Le campagne OFF non saranno disponibili per essere selezionate nella creazione di nuovi record banner, ma i banner continueranno ad essere visualizzate fino alla fine delle loro impostazioni."
"Campaigns turned TOTALLY OFF will also stop serving all their banners.","Le campagne COMPLETAMENTE OFF smetteranno anche di visualizzare i banner"
"Client","Cliente"
"Campaign details","Dettagli della campagna"
----------------------------------,POSITIONS LIST-------------------------
"Positions","Posizioni"
"Position ID","ID posizione"
"Position name","Nome della posizione"
"Daily views","Visualizzazioni giornaliere"
"Daily clicks","Click giornalieri"
"Daily avarage views on 7 days","Media delle visualizzazioni su 7 giorni"
"Daily avarage clicks on 7 days","Media dei click su 7 giorni"
"Sales model","Modello di vendita"
"You can't delete a position with banners.","Non puoi cancellare una posizione con dei banner."
"Fallback filler banner","Banner riempitivo"
"Show this ad if there no more views availbale for other banners","Mostra questo banner se gli altri non hanno piùm views"
----------------------------------,POSITION DETAIL PAGE-------------------------
"Width","Larghezza"
"Height","Altezza"
"save to see","salva per vedere"
"Position details","Dettagli della posizione"
"Insert this script in your site to deliver banners.","Inserisci questo script per mostrare i banner sul tuo sito."
"Javascript tag","Javascript tag"
"Responsive behaviour","Comportamento responsive"
"Position size","Dimensioni della posizione"
"Dimensions are used to force the images in simple banners and HTML5 banners.","Le dimensioni sono utilizzate per forzare le dimensioni delle immagini nei banner semplici e nei banner HTML5"
"Check to make it responsive.","Spunta questa casella se è una posizione per banner responsive."
"Available for purchase","Disponibile per la vendita"
"Selling price","Prezzo di vendita"
"Based on selling model","Basato sul modello di vendita"
"Sale","Vendita"
"Vignette ads","Annunci a vignetta"
"Vignette mode","Modalità vignetta"
"HTML Trigger","Attivatore HTML"
"Timer","Timer"
"This string is passed to querySelectorAll JS function","Questa stringa è passata alla funzione querySelectorAll di JS"
"Seconds to wait before show the X button to close the vignette ad","I secondi che devi aspettare prima della X per chiudere la pubblicità vignetta"
"Price can't be 0","Il prezzo non può essere 0"
"Website","Sito web"
"Use old code for document.write compatibility","Utilizza il vecchio codice per document.write"
"Use last code","Utilizza l'ultimo codice disponibile"
"Use link position code for just text link","Usa il link della posizione per il link testuali"
----------------------------------,TEMPLATE LIST-------------------------
"Templates","Template"
"Banner templates","Banner template"
"Template ID","ID Template"
"Template name","Nome template"
----------------------------------,TEMPLATE DETAIL PAGE-------------------------
"Template details","Dettagli del template"
"Template instructions and info","Istruzioni per il template e informazioni"
"Code","Codice"
"HTML tags are allowed","Puoi utilizzare HTML"
"HTML, javascript and css code are allowed","Puoi utilizzare HTML, CSS e Javascript"
----------------------------------,WEBSITE LIST-------------------------
"Websites","Siti web"
"Site ID","ID sito"
"Site name","Nome del sito"
"Site url","Url del sito"
"Active ads","Banner attivi"
"Pending ads","Banner in approvazione"
"You can't delete a website with positions.","Non puoi cancellare un sito con delle posizioni."
----------------------------------,WEBSITE DETAIL PAGE-------------------------
"Website details","Dettagli del sito web"
"Webmaster","Webmaster"
"Website turned OFF will not be available in banner creation for new records, but banners will be delivered till the end of their timing.","I siti che vengono messi ad OFF non saranno più disponibili per la creazione di nuovi banner, ma i banner esistenti andranno avanti fino alla fine della campagna."
"Revenue share %","% ripartizione ricavi"
"This is the % for webmaster","Questa è la percentuale del webmaster"
"Description","Descrizione"
----------------------------------,USERS LIST-------------------------
"The username you've choose is already used.","Il nome utente scelto è già in uso."
"Users","Utenti"
"Edit more data","Modifica altri dati"
"Login as this user","Entra come questo utente"
"Surname","Cognome"
"Name","Nome"
"Username","Nome utente"
"Profile","Profilo"
"Password","Password"
----------------------------------,ADD USER-------------------------
"Add a new user","Aggiungi un nuovo utente"
"User details","Dettagli utente"
"Active user","Attiva l'utente"
----------------------------------,EDIT USER-------------------------
"Leave blank if you don't want to change it","Lascia vuoto se non la vuoi cambiare"
"Edit user","Modifica utente"
"Permissions","Permessi"
"If advertiser, limit to use only basic banners","Se è advertiser, limita ad utilizzare solo banner semplici"
"If advertiser, autoapprove uploaed banners","Se è advertiser, approva automaticamente i banner caricati"
----------------------------------,MORE USER DATA-------------------------
"Email address","Indirizzo Email"
"User creation date","Data di creazione dell'utente"
"More informations on","Altre informazioni su"
----------------------------------,MY PROFILE-------------------------
"This is a demo version, you can't do that.","Non puoi farlo, è una versione demo."
"My profile","Mio profilo"
"Edit my profile","Modifica il mio profilo"
"Company","Azienda"
"Company name","Nome azienda"
"Address","Indirizzo"
"Email already used.","Email già utilizzata."
----------------------------------,SETTINGS-------------------------
"Location not found.","Posizione geografica non trovata."
"File CSV not found.","Manca il file CSV."
"Your ip","Il tuo ip"
"Your location","La tua posizione"
"IP Location records","Record posizioni ip"
"Grab new csv file","Recupera il nuovo file csv"
"Import CSV data","Importa dal CSV"
"Get update","Aggiorna"
"Recover import","Recupera l'importazione"
"Import","Importa"
"File CSV not found.","File CSV non trovato."
"Loading geo ip records...","Caricamento record geo ip..."
"Downloading update...","Scarico l'aggiornamento dei record..."
"Sorry, download failed","Mi spiace, scaricamento aggiornamento fallito"
"Missing IP2Location token","Manca il token di IP2Location"
"Updated on","Aggiornato il "
"Geo ip data not yet imported","Dati geo ip non ancora importati"
"Sorry, you have to upload records manually","Mi dispiace, devi caricare questi dati manualmente"
"Geoip settings","Impostazioni Geoip"
"Geoip update process started. Please don't close this window till the end of the process. You can see progress status below in Geoip panel.","L'aggiornamento di Geoip è cominciato. Per favore non chiudere questa finestra fino alla fine del processo. Puoi vedere lo stato di avanzamento nel pannello Geoip."
"Please, select file to import.","Per favore seleziona il file da importare."
"Main settings","Impostazioni principali"
"Settings","Impostazioni"
"Setting","Impostazione"
"Setting value","Valore dell'impostazione"
"Setting name","Nome dell'impostazione"
"For example: $","Per esempio: €"
"For example: USD","Per esempio: EUR"
"Currency money code","Codice valuta"
"Currency","Valuta"
"Date format","Formato della data"
"Maximum banner upload size","Dimensione massima di caricamento del banner"
"Check for new version on AdAdmin central server","Verifica la versione di AdAdmin sul server centrale"
"Check version","Controlla la versione"
"Leave empty if you don't want Coinbase payments","Lascia vuoto se non vuoi utilizzare Coinbase come metodo di pagamento"
"Leave empty if you don't want Paypal payments","Lascia vuoto se non vuoi usare Paypal come metodo di pagamento"
"Turn off if you don't want Manual payments","Metti OFF se non vuoi usare i pagamento manuali"
"Insert manual payment instructions for advertiser","Inserisci le informazioni per l'utente Advertiser che deve pagarti manualmente (IBAN, BIC/SWIFT...)"
----------------------------------,MENU -------------------------
"Menu editor","Menu editor"
"Order","Ordine"
"Menu label","Menu etichetta"
"Slug","Slug"
"Module details","Dettagli del modulo"
"Translate","Traduzione"
"Check to use the files in lang folder to translate the label in the menu","Spuntare se vuoi utilizzare i file della cartella lang per tradurre questa voce di menu in altre lingue"
"Menu items","Voci del menu"
"Menu item","Voce del menu"
"Label","Etichetta"
"Visibility","Visibilità"
"Url","Url"
"Icon","Icona"
"Menu item details","Dettagli della voce del menu"
"Modules","Moduli"
"This Menu item is used in these modules:","Questa voce di menu è usata in questi moduli:"
"Who can see this Menu item:","Chi può vedere questa Voce di menu:"
"Functionalities","Funzionalità"
"Menu item label or slug already existing.","L'etichetta o lo slug di questa voce di menu esistono già."
"More items","Altro"
"This module contains items.","Questo modulo contiene delle voci di menu."
